"trial","ref_position","var_area","response","correct","rt"
1,"L",11.3198289463762,"R",TRUE,6.7960000038147
2,"R",12.6643804253545,"L",TRUE,2.6949999332428
3,"L",14.7248385034036,"R",TRUE,1.69300007820129
4,"L",10.276223372668,"R",TRUE,1.69599986076355
5,"R",13.9862060789019,"L",TRUE,2.09400010108948
6,"L",8.58242960716598,"R",FALSE,1.49600005149841
7,"L",10.6320314109325,"R",TRUE,0.895999908447266
8,"R",12.5984805838671,"R",FALSE,0.694000005722046
9,"R",9.57845531497151,"R",FALSE,1.19400000572205
10,"R",14.3746256541926,"L",TRUE,1.29299998283386
